"","att_1","att_2","att_3","att_4","att_5","att_6","att_1_sunab","att_2_sunab","att_3_sunab","att_4_sunab","att_5_sunab","att_6_sunab","att_4_fig6","att_5_fig6","att_6_fig6"
"1",1.98989073816459,2.83315634832571,1.99443502529793,2.99454914625968,0.119198281898319,-0.627991783717209,1.97677896010657,2.82004457026181,1.98666413912969,4.31962745208471,2.48115165167257,3.78884557349447,3.99526701503684,1.46228902786614,2.07501867077738
"2",2.02723174010285,2.83123412764048,2.01493466677995,3.00529084324569,0.209013078121461,-0.667209033974721,1.9863090043941,2.79031139192576,2.01525474263027,4.34285659698951,2.52709751858651,3.6551920848181,4.00998591897774,1.52002630503875,2.0873933427846
"3",1.99913307575407,2.87667372648961,2.00702199518627,3.00739884629286,0.20253226511135,-0.439653203315391,1.99140085038203,2.86894150111132,2.01809089654117,4.35031385065696,2.40106174823396,3.93994523852922,4.0014438248298,1.49227934821251,2.16124391543983
"4",1.98232920660113,2.86261433866498,1.99612777139076,3.01019854485947,-0.0401896199161957,-0.844915160319657,1.91568902136887,2.79597415342653,2.01541334833138,4.35348355339847,2.41972946491326,3.6504017668641,4.01056674068935,1.48197411757568,1.97285581919915
"5",1.99763238285675,2.79352791683596,1.99948488859406,2.98773012708901,-0.0093037599460454,-0.758674527351262,2.00202792275981,2.79792345673333,1.98342948614243,4.30835692587126,2.40268614528363,3.70982181874989,3.99339050890348,1.41094974782875,1.95867038203893
"6",1.97534659191087,2.91843732518818,1.9947413900016,3.00821364957769,0.25891884662381,-0.799421393390166,1.9445197188922,2.88761045216345,1.97305241470423,4.31972496295709,2.53727125362899,3.64227484930074,4.01008154831904,1.51369829336828,2.01493801304985
"7",1.9696618630388,2.94218599924807,1.99187401452025,2.99751037062003,-0.0295007391520309,-0.381786110682996,1.94386472276794,2.91638885897083,2.027469798143,4.37429891647782,2.37733815280452,3.81372708521362,3.99071598568882,1.37915741534577,2.01832061508121
"8",2.01596464546562,2.98406924177034,1.99702468144428,2.99996949533604,0.0755916659194144,-0.738657632178012,2.05525222984907,3.02335682614742,2.02813058965925,4.36135489254003,2.62578314810998,3.72748369488385,4.01194895052159,1.57739885976379,2.04229695007036
"9",2.01150970215599,2.84030510128794,1.97431736400799,2.9696231253231,0.369488167151768,-0.780304660674325,1.98859578969218,2.81739118881833,1.98304417091409,4.3015601230121,2.35570395396764,3.4198292218077,3.97271091965934,1.48753677196525,2.03712562136479
"10",1.99145556260379,2.86484524704928,2.00533987214945,2.99404190714588,0.25643946663126,-0.956093931796043,2.02575140508426,2.89914108952346,2.01774555518682,4.34017483915114,2.26878205690125,3.73181992725342,3.99200163891583,1.50146812604826,1.98517267492327
"11",1.99731943735199,2.74251825030356,1.98788387558592,3.00588370996442,0.177786024268337,-0.467760430143435,2.01904763315909,2.76424644610473,1.97858328969576,4.32501573229517,2.45333633678739,3.69019405594286,4.00665524774288,1.48749010777453,2.1016210111133
"12",1.97265171715004,2.82238121499734,1.99210583991366,3.00805367033725,0.00518012901140782,-0.758393294921166,1.97362218926667,2.82335168710819,1.99784934687123,4.34500975882171,2.40521501590033,3.68068686483375,4.0056423288114,1.55909341715726,2.04165980340064
"13",1.9588885986717,2.70160195422063,2.0014426415728,3.00270766610181,0.140234972362764,-0.502986952358196,1.94269805590551,2.6854114114483,1.95303317131804,4.28964048738106,2.38054355158487,3.66540171281876,3.99140477552404,1.51100705051015,1.96089010650956
"14",2.0036633276767,2.911112093779,2.00461245864982,3.00482257078748,0.127754602408846,-0.717922257355661,2.02585623229307,2.93330499838943,2.06533067117362,4.40626267078401,2.36796247743817,3.69682079205368,4.01341021200031,1.59203945207684,1.97980500131934
"15",2.01690614275315,2.94625460484918,1.99458839125782,2.98231613626074,0.277272561336862,-0.452879481174439,2.06658937546892,2.99593783755917,1.95355584287025,4.2817190580423,2.43126632678273,3.78431304120508,3.99072054218208,1.46139994043273,2.03893216801685
"16",2.02114749258873,2.91677941631198,2.00049588477557,2.98148216263172,0.0878002723403446,-0.73854988546104,2.02209959678227,2.91773152049919,2.02471846571164,4.33695613683869,2.4853530563616,3.52603538305329,3.98688279955497,1.46140053737169,1.95439981878001
"17",2.00323424738109,2.98804472444888,1.99598991422556,2.9932555789953,0.0635790844450954,-0.460955790506624,2.02924340994945,3.01405388701099,1.98667420484566,4.31409204462267,2.50736321959807,3.80137812765199,3.99698511503375,1.55024276252143,2.10015817988037
